SampleID	mean	sd	measure	X.SampleID	Experiment	Farm	Year	farm_number	section	row	block	section_block	farm_block	farm_section_block	farm_section_block_treatment	year_farm_section_block_treatment	Sample_type	DNA	DNA_sample_label	DNA_sample_name	DNA_seq_number	DNA_plate_number	DNA_col	DNA_row	Tissue	DNA_control	Treatment	Seed_source	Disinfection	Inoculation	plot_level	soil_moisture_at_planting	plants_at_planting	approx_plants_at_harvest	cob.weight.grams	cob_weight_g_plot_avg	max_cob_weight_plot	is_disease_score	seed_weight_g_plot	seed_weight_g_block	lb_seeds_plot	lb_seeds_block	cob_count_wk12	cob_count	cobs_per_plant	seeds_per_cob_g	Seeds_per_plant	disease	disease_plot_avg	Height	Height_avg	copies_ITS_all	copies_Fus_all	copies_Fverti_all	copies_Fum_all	perc_Fus_ITS	perc_Fvert_Fus	perc_Fum_Fus	log_copies_ITS_all	log_copies_Fus_all	log_copies_Fverti_all	log_copies_Fum_all
Sample11	18.3293793556	3.7416482365	Inverse Simpson	Sample11	1	OSU	2014	3	1	1	1	1.1	3.1	3.1.1	3.1.1.4	2014.3.1.1.4	Crown	1	6.1.4	OSU.14.CR8.1.1.4	11	1	2	C	Crown	0	4	3	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6599908329	NA	NA	NA	NA	0.7349069645	NA	NA	NA	NA	NA	NA	0.2392761904	NA	NA
Sample13	84.3880881639	7.854316805	Inverse Simpson	Sample13	1	OSU	2014	3	2	1	1	2.1	3.1	3.2.1	3.2.1.6	2014.3.2.1.6	Crown	1	11.1.6	OSU.14.CR8.2.1.6	13	1	2	E	Crown	0	6	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7878527722	NA	NA	NA	NA	1.3088587301	NA	NA	NA	NA	NA	NA	0.363397361	NA	NA
Sample14	14.5926742942	2.6194033947	Inverse Simpson	Sample14	1	OSU	2014	3	2	3	3	2.3	3.3	3.2.3	3.2.3.6	2014.3.2.3.6	Crown	1	13.3.6	OSU.14.CR8.2.3.6	14	1	2	F	Crown	0	6	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6312282152	NA	NA	NA	NA	3.6981019522	NA	NA	NA	NA	NA	NA	0.6719224371	NA	NA
Sample15	56.8499280787	9.0264410197	Inverse Simpson	Sample15	1	OSU	2014	3	2	2	2	2.2	3.2	3.2.2	3.2.2.5	2014.3.2.2.5	Crown	1	14.2.5	OSU.14.CR8.2.2.5	15	1	2	G	Crown	0	5	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7321612385	NA	NA	NA	NA	1.6529960156	NA	NA	NA	NA	NA	NA	0.4237365977	NA	NA
Sample16	3.8427502893	0.5127036514	Inverse Simpson	Sample16	1	PC	2014	2	2	1	1	2.1	2.1	2.2.1	2.2.1.1	2014.2.2.1.1	Crown	1	F.1.1	PC.14.CR8.2.1.1	16	1	2	H	Crown	0	1	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5979145437	NA	NA	NA	NA	1.7281701123	NA	NA	NA	NA	NA	NA	0.4358714468	NA	NA
Sample17	7.1146811664	1.2622352652	Inverse Simpson	Sample17	1	PC	2014	2	1	1	1	1.1	2.1	2.1.1	2.1.1.2	2014.2.1.1.2	Crown	1	D.1.2	PC.14.CR8.1.1.2	17	1	3	A	Crown	0	2	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7004601205	NA	NA	NA	NA	0.7027834695	NA	NA	NA	NA	NA	NA	0.2311594254	NA	NA
Sample18	63.1284409377	8.5518259437	Inverse Simpson	Sample18	1	PC	2014	2	1	1	1	1.1	2.1	2.1.1	2.1.1.3	2014.2.1.1.3	Crown	1	D.1.3	PC.14.CR8.1.1.3	18	1	3	B	Crown	0	3	4	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5974097601	NA	NA	NA	NA	0.5019309496	NA	NA	NA	NA	NA	NA	0.1766499667	NA	NA
Sample19	45.7365166326	5.499882148	Inverse Simpson	Sample19	1	AS	2014	1	2	1	1	2.1	1.1	1.2.1	1.2.1.4	2014.1.2.1.4	Crown	1	A.1.4	AS.14.CR8.2.1.4	19	1	3	C	Crown	0	4	3	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4765382084	NA	NA	NA	NA	0.0793577136	NA	NA	NA	NA	NA	NA	0.0331653995	NA	NA
Sample20	68.0529623933	8.5437106618	Inverse Simpson	Sample20	1	AS	2014	1	3	2	2	3.2	1.2	1.3.2	1.3.2.1	2014.1.3.2.1	Crown	1	B.2.1	AS.14.CR8.3.2.1	20	1	3	D	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5971108382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sample21	35.5416205167	5.4918930947	Inverse Simpson	Sample21	1	AS	2014	1	3	2	2	3.2	1.2	1.3.2	1.3.2.3	2014.1.3.2.3	Crown	1	B.2.2	AS.14.CR8.3.2.3	21	1	3	E	Crown	0	3	3	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5397606337	NA	NA	NA	NA	0.1672513494	NA	NA	NA	NA	NA	NA	0.0671643847	NA	NA
Sample22	37.3869728817	6.4983011931	Inverse Simpson	Sample22	1	AS	2014	1	1	4	4	1.4	1.4	1.1.4	1.1.4.4	2014.1.1.4.4	Crown	1	C.4.4	AS.14.CR8.1.4.4	22	1	3	F	Crown	0	4	3	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5380749917	NA	NA	NA	NA	0.0514526377	NA	NA	NA	NA	NA	NA	0.0217897148	NA	NA
Sample23	46.3165221161	7.0294789095	Inverse Simpson	Sample23	1	AS	2014	1	2	5	5	2.5	1.5	1.2.5	1.2.5.1	2014.1.2.5.1	Crown	1	A.5.1	AS.14.CR8.2.5.1	23	1	3	G	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5836789734	NA	NA	NA	NA	0.1030084651	NA	NA	NA	NA	NA	NA	0.0425788455	NA	NA
Sample24	42.0421234575	7.6189013847	Inverse Simpson	Sample24	1	AS	2014	1	1	5	5	1.5	1.5	1.1.5	1.1.5.2	2014.1.1.5.2	Crown	1	C.5.2	AS.14.CR8.1.5.2	24	1	3	H	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6882087274	NA	NA	NA	NA	0.1125224251	NA	NA	NA	NA	NA	NA	0.0463087738	NA	NA
Sample25	14.8044823744	2.5821593598	Inverse Simpson	Sample25	1	OSU	2014	3	1	4	4	1.4	3.4	3.1.4	3.1.4.8	2014.3.1.4.8	Crown	1	8.4.8	OSU.14.CR8.1.4.8	25	1	4	A	Crown	0	8	4	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6725353046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sample26	70.4752444567	8.4508323236	Inverse Simpson	Sample26	1	OSU	2014	3	2	4	4	2.4	3.4	3.2.4	3.2.4.2	2014.3.2.4.2	Crown	1	9.4.2	OSU.14.CR8.2.4.2	26	1	4	B	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6551066917	NA	NA	NA	NA	1.3459150938	NA	NA	NA	NA	NA	NA	0.3703122895	NA	NA
Sample27	11.3018317796	2.1501926534	Inverse Simpson	Sample27	1	OSU	2014	3	1	2	2	1.2	3.2	3.1.2	3.1.2.4	2014.3.1.2.4	Crown	1	3.2.4	OSU.14.CR8.1.2.4	27	1	4	C	Crown	0	4	3	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6700820741	NA	NA	NA	NA	0.2246275812	NA	NA	NA	NA	NA	NA	0.0880040364	NA	NA
Sample28	15.7268296781	3.3586496286	Inverse Simpson	Sample28	1	OSU	2014	3	2	2	2	2.2	3.2	3.2.2	3.2.2.8	2014.3.2.2.8	Crown	1	9.2.8	OSU.14.CR8.2.2.8	28	1	4	D	Crown	0	8	4	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7421955174	NA	NA	NA	NA	0.0915819626	NA	NA	NA	NA	NA	NA	0.0380563507	NA	NA
Sample29	60.7713577615	10.0650520868	Inverse Simpson	Sample29	1	OSU	2014	3	1	3	3	1.3	3.3	3.1.3	3.1.3.1	2014.3.1.3.1	Crown	1	6.3.1	OSU.14.CR8.1.3.1	29	1	4	E	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6147944979	NA	NA	NA	NA	0.1677783588	NA	NA	NA	NA	NA	NA	0.0673604227	NA	NA
Sample30	54.975829808	7.3153356268	Inverse Simpson	Sample30	1	OSU	2014	3	2	1	1	2.1	3.1	3.2.1	3.2.1.3	2014.3.2.1.3	Crown	1	15.1.3	OSU.14.CR8.2.1.3	30	1	4	F	Crown	0	3	3	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5566951146	NA	NA	NA	NA	0.1644212484	NA	NA	NA	NA	NA	NA	0.0661101219	NA	NA
Sample31	31.5967089457	6.6144150828	Inverse Simpson	Sample31	1	OSU	2014	3	1	5	5	1.5	3.5	3.1.5	3.1.5.7	2014.3.1.5.7	Crown	1	8.5.7	OSU.14.CR8.1.5.7	31	1	4	G	Crown	0	7	4	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6038668388	NA	NA	NA	NA	0.103384556	NA	NA	NA	NA	NA	NA	0.0427269009	NA	NA
Sample32	12.4706123136	2.2798758569	Inverse Simpson	Sample32	1	OSU	2014	3	1	5	5	1.5	3.5	3.1.5	3.1.5.1	2014.3.1.5.1	Crown	1	1.5.1	OSU.14.CR8.1.5.1	32	1	4	H	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6936678771	NA	NA	NA	NA	0.1691509149	NA	NA	NA	NA	NA	NA	0.0678705739	NA	NA
Sample33	34.8857584495	5.7300117259	Inverse Simpson	Sample33	1	OSU	2014	3	2	2	2	2.2	3.2	3.2.2	3.2.2.3	2014.3.2.2.3	Crown	1	13.2.3	OSU.14.CR8.2.2.3	33	1	5	A	Crown	0	3	3	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6845088937	NA	NA	NA	NA	0.2260482418	NA	NA	NA	NA	NA	NA	0.0885075589	NA	NA
Sample34	65.4773491548	7.2821009533	Inverse Simpson	Sample34	1	PC	2014	2	1	1	1	1.1	2.1	2.1.1	2.1.1.4	2014.2.1.1.4	Crown	1	B.1.4	PC.14.CR8.1.1.4	34	1	5	B	Crown	0	4	4	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.638553297	NA	NA	NA	NA	0.1427061558	NA	NA	NA	NA	NA	NA	0.057934567	NA	NA
Sample35	109.3931133972	9.391184084	Inverse Simpson	Sample35	1	PC	2014	2	1	2	2	1.2	2.2	2.1.2	2.1.2.1	2014.2.1.2.1	Crown	1	A.2.1	PC.14.CR8.1.2.1	35	1	5	C	Crown	0	1	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6824451811	NA	NA	NA	NA	4.3549476889	NA	NA	NA	NA	NA	NA	0.7287552327	NA	NA
Sample36	25.8357437522	5.0318733544	Inverse Simpson	Sample36	1	PC	2014	2	1	2	2	1.2	2.2	2.1.2	2.1.2.2	2014.2.1.2.2	Crown	1	C.2.2	PC.14.CR8.1.2.2	36	1	5	D	Crown	0	2	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5857201571	NA	NA	NA	NA	1.0077965725	NA	NA	NA	NA	NA	NA	0.3027197085	NA	NA
Sample37	58.5817074617	7.9418970377	Inverse Simpson	Sample37	1	AS	2014	1	1	2	2	1.2	1.2	1.1.2	1.1.2.2	2014.1.1.2.2	Crown	1	C.2.2	AS.14.CR8.1.2.2	37	1	5	E	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5941253073	NA	NA	NA	NA	0.3602659417	NA	NA	NA	NA	NA	NA	0.1336238243	NA	NA
Sample38	69.3040904163	10.5864572851	Inverse Simpson	Sample38	1	AS	2014	1	2	2	2	2.2	1.2	1.2.2	1.2.2.4	2014.1.2.2.4	Crown	1	A.2.4	AS.14.CR8.2.2.4	38	1	5	F	Crown	0	4	3	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4840436742	NA	NA	NA	NA	0.436314877	NA	NA	NA	NA	NA	NA	0.1572496588	NA	NA
Sample39	67.4530435365	9.4344077664	Inverse Simpson	Sample39	1	AS	2014	1	3	3	3	3.3	1.3	1.3.3	1.3.3.1	2014.1.3.3.1	Crown	1	B.3.1	AS.14.CR8.3.3.1	39	1	5	G	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6059726307	NA	NA	NA	NA	0.3909905933	NA	NA	NA	NA	NA	NA	0.143324193	NA	NA
Sample40	65.2670552408	6.9012790787	Inverse Simpson	Sample40	1	AS	2014	1	3	5	5	3.5	1.5	1.3.5	1.3.5.3	2014.1.3.5.3	Crown	1	B.5.3	AS.14.CR8.3.5.3	40	1	5	H	Crown	0	3	3	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6184678404	NA	NA	NA	NA	0.2024437817	NA	NA	NA	NA	NA	NA	0.0800647808	NA	NA
Sample41	30.1721583704	3.5377838318	Inverse Simpson	Sample41	1	OSU	2014	3	1	4	4	1.4	3.4	3.1.4	3.1.4.6	2014.3.1.4.6	Crown	1	2.4.6	OSU.14.CR8.1.4.6	41	1	6	A	Crown	0	6	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7268296425	NA	NA	NA	NA	0.3316185299	NA	NA	NA	NA	NA	NA	0.1243798299	NA	NA
Sample42	10.659137444	1.7405627502	Inverse Simpson	Sample42	1	OSU	2014	3	1	1	1	1.1	3.1	3.1.1	3.1.1.8	2014.3.1.1.8	Crown	1	7.1.8	OSU.14.CR8.1.1.8	42	1	6	B	Crown	0	8	4	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6921341283	NA	NA	NA	NA	36.7408973403	NA	NA	NA	NA	NA	NA	1.5768122219	NA	NA
Sample43	7.915211061	1.4022999492	Inverse Simpson	Sample43	1	OSU	2014	3	2	1	1	2.1	3.1	3.2.1	3.2.1.2	2014.3.2.1.2	Crown	1	10.1.2	OSU.14.CR8.2.1.2	43	1	6	C	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6250869737	NA	NA	NA	NA	1.2120768158	NA	NA	NA	NA	NA	NA	0.3448002041	NA	NA
Sample44	12.537048129	2.5897772848	Inverse Simpson	Sample44	1	OSU	2014	3	1	4	4	1.4	3.4	3.1.4	3.1.4.5	2014.3.1.4.5	Crown	1	5.4.5	OSU.14.CR8.1.4.5	44	1	6	D	Crown	0	5	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7594638013	NA	NA	NA	NA	1.6286444979	NA	NA	NA	NA	NA	NA	0.4197318554	NA	NA
Sample45	29.0185984868	4.4445549583	Inverse Simpson	Sample45	1	OSU	2014	3	1	3	3	1.3	3.3	3.1.3	3.1.3.7	2014.3.1.3.7	Crown	1	2.3.7	OSU.14.CR8.1.3.7	45	1	6	E	Crown	0	7	4	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6707069993	NA	NA	NA	NA	0.2899806847	NA	NA	NA	NA	NA	NA	0.1105832075	NA	NA
Sample46	32.2298108813	5.0879337274	Inverse Simpson	Sample46	1	OSU	2014	3	2	1	1	2.1	3.1	3.2.1	3.2.1.1	2014.3.2.1.1	Crown	1	12.1.1	OSU.14.CR8.2.1.1	46	1	6	F	Crown	0	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5785070988	NA	NA	NA	NA	0.6119806096	NA	NA	NA	NA	NA	NA	0.2073598134	NA	NA
Sample47	4.6105352298	0.7599284635	Inverse Simpson	Sample47	1	OSU	2014	3	2	5	5	2.5	3.5	3.2.5	3.2.5.5	2014.3.2.5.5	Crown	1	14.5.5	OSU.14.CR8.2.5.5	47	1	6	G	Crown	0	5	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.811023834	NA	NA	NA	NA	0.3892634601	NA	NA	NA	NA	NA	NA	0.1427846132	NA	NA
Sample48	59.3119091351	9.126824939	Inverse Simpson	Sample48	1	OSU	2014	3	2	4	4	2.4	3.4	3.2.4	3.2.4.7	2014.3.2.4.7	Crown	1	11.4.7	OSU.14.CR8.2.4.7	48	1	6	H	Crown	0	7	4	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7148220715	NA	NA	NA	NA	0.1810822835	NA	NA	NA	NA	NA	NA	0.072280155	NA	NA
Sample49	82.8734268602	10.934890848	Inverse Simpson	Sample49	1	PC	2014	2	2	2	2	2.2	2.2	2.2.2	2.2.2.3	2014.2.2.2.3	Crown	1	E.2.3	PC.14.CR8.2.2.3	49	1	7	A	Crown	0	3	4	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6923364279	NA	NA	NA	NA	1.6711890968	NA	NA	NA	NA	NA	NA	0.4267046333	NA	NA
Sample50	39.4056278804	4.4414803716	Inverse Simpson	Sample50	1	PC	2014	2	2	2	2	2.2	2.2	2.2.2	2.2.2.4	2014.2.2.2.4	Crown	1	E.2.4	PC.14.CR8.2.2.4	50	1	7	B	Crown	0	4	4	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7005240416	NA	NA	NA	NA	0.3226219681	NA	NA	NA	NA	NA	NA	0.1214357318	NA	NA
Sample51	58.4757622122	10.2349162832	Inverse Simpson	Sample51	1	PC	2014	2	2	3	3	2.3	2.3	2.2.3	2.2.3.1	2014.2.2.3.1	Crown	1	F.3.1	PC.14.CR8.2.3.1	51	1	7	C	Crown	0	1	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5277223001	NA	NA	NA	NA	330.8316610497	NA	NA	NA	NA	NA	NA	2.520917821	NA	NA
Sample52	42.8859213307	8.0565214795	Inverse Simpson	Sample52	1	PC	2014	2	1	4	4	1.4	2.4	2.1.4	2.1.4.1	2014.2.1.4.1	Crown	1	A.4.1	PC.14.CR8.1.4.1	52	1	7	D	Crown	0	1	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6656582813	NA	NA	NA	NA	0.7017560303	NA	NA	NA	NA	NA	NA	0.2308972982	NA	NA
Sample53	23.8153239493	4.51082108	Inverse Simpson	Sample53	1	AS	2014	1	1	5	5	1.5	1.5	1.1.5	1.1.5.4	2014.1.1.5.4	Crown	1	C.5.4	AS.14.CR8.1.5.4	53	1	7	E	Crown	0	4	3	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5811235139	NA	NA	NA	NA	0.2569999084	NA	NA	NA	NA	NA	NA	0.099335246	NA	NA
Sample54	10.2533095472	2.1504167814	Inverse Simpson	Sample54	1	AS	2014	1	3	3	3	3.3	1.3	1.3.3	1.3.3.2	2014.1.3.3.2	Crown	1	B.3.2	AS.14.CR8.3.3.2	54	1	7	F	Crown	0	2	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.616784833	NA	NA	NA	NA	0.2521245066	NA	NA	NA	NA	NA	NA	0.0976475157	NA	NA
Sample55	43.6291039574	7.5226796511	Inverse Simpson	Sample55	1	AS	2014	1	2	3	3	2.3	1.3	1.2.3	1.2.3.3	2014.1.2.3.3	Crown	1	A.3.3	AS.14.CR8.2.3.3	55	1	7	G	Crown	0	3	3	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4618363255	NA	NA	NA	NA	0.1181306619	NA	NA	NA	NA	NA	NA	0.0484925571	NA	NA
