"","SampleID","Experiment","Farm","Year","farm_number","section","row","block","section_block","farm_block","year_farm_block","farm_section_block","year_farm_section_block","farm_section_block_treatment","year_farm_section_block_treatment","Sample_type","DNA","DNA_sample_name","DNA_seq_number","DNA_plate_number","DNA_col","DNA_row","Tissue","DNA_control","Treatment","Seed_source","Disinfection","Inoculation","plot_level","soil_moisture_at_planting","plants_at_planting","approx_plants_at_harvest","cob.weight.grams","cob_weight_g_plot_avg","max_cob_weight_plot","is_disease_score","seed_weight_g_plot","seed_weight_g_block","lb_seeds_plot","lb_seeds_block","cob_count_wk12","cob_count","cobs_per_plant","seeds_per_cob_g","Seeds_per_plant","disease","disease_plot_avg","Height","Height_avg","copies_ITS_all","copies_Fus_all","copies_Fverti_all","copies_Fum_all","perc_Fus_ITS","perc_Fvert_Fus","perc_Fum_Fus","log_copies_ITS_all","log_copies_Fus_all","log_copies_Fverti_all","log_copies_Fum_all","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Richness_raref","Richness_raref_sd","Inverse_Simpson_raref","Inverse_Simpson_raref_sd"
"Sample68","Sample68","1","PC","2014","2","1","3","3","1.3","2.3","2014.2.3","PC.1.3","2014.PC.1.3","2.1.3.4","2014.2.1.3.4","Crown","1","PC.14.CR8.1.3.4","68","1","9","D","Crown","0","4","4","1","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5281265102,NA,NA,NA,NA,0.2226393806,NA,NA,NA,NA,NA,NA,0.0872983801,NA,NA,504,904.616279069767,68.5227418070341,919.410578259151,17.6565934415583,5.42925966325222,0.988638000096006,88.0126745687126,238.79695908511,104.73,4.68794930506599,60.0579679389508,8.03027373433466
"Sample39","Sample39","1","AS","2014","1","3","3","3","3.3","1.3","2014.1.3","AS.3.3","2014.AS.3.3","1.3.3.1","2014.1.3.3.1","Crown","1","AS.14.CR8.3.3.1","39","1","5","G","Crown","0","1","3","0","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6059726307,NA,NA,NA,NA,0.3909905933,NA,NA,NA,NA,NA,NA,0.143324193,NA,NA,980,1939.90322580645,116.742472108955,2088.60761161637,29.4428309411222,5.64270553630406,0.988866688130606,89.8205324463299,376.961701583818,105.08,4.9352985438747,59.1912364725725,7.78872689673262
"Sample62","Sample62","1","OSU","2014","3","2","1","1","2.1","3.1","2014.3.1","OSU.2.1","2014.OSU.2.1","3.2.1.7","2014.3.2.1.7","Crown","1","OSU.14.CR8.2.1.7","62","1","8","F","Crown","0","7","4","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7321414285,NA,NA,NA,NA,0.1292844245,NA,NA,NA,NA,NA,NA,0.0528033382,NA,NA,799,1814.91919191919,143.355552879024,1759.13398963361,26.8097309190526,4.89551291506341,0.965458978937465,28.9510839355197,251.326753271589,84.22,5.55155815783263,26.2771663780862,5.41908683945615
"Sample21","Sample21","1","AS","2014","1","3","2","2","3.2","1.2","2014.1.2","AS.3.2","2014.AS.3.2","1.3.2.3","2014.1.3.2.3","Crown","1","AS.14.CR8.3.2.3","21","1","3","E","Crown","0","3","3","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5397606337,NA,NA,NA,NA,0.1672513494,NA,NA,NA,NA,NA,NA,0.0671643847,NA,NA,757,1639.05357142857,121.555540470548,1839.13967851483,27.9674148542307,4.76746342580623,0.974050562360487,38.5364805932174,225.615437434356,77.74,5.31363787576341,31.4838527772188,4.10622307828906
"Sample54","Sample54","1","AS","2014","1","3","3","3","3.3","1.3","2014.1.3","AS.3.3","2014.AS.3.3","1.3.3.2","2014.1.3.3.2","Crown","1","AS.14.CR8.3.3.2","54","1","7","F","Crown","0","2","3","1","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616784833,NA,NA,NA,NA,0.2521245066,NA,NA,NA,NA,NA,NA,0.0976475157,NA,NA,1018,1800.8125,97.4227463466493,1824.58823482527,26.7636302701763,4.06524607361176,0.891849878827092,9.24640665359239,263.086283856819,64.57,5.0537614754265,8.73143228415762,1.80025481855603
"Sample6","Sample6","1","AS","2014","1","1","4","4","1.4","1.4","2014.1.4","AS.1.4","2014.AS.1.4","1.1.4.3","2014.1.1.4.3","Crown","1","AS.14.CR8.1.4.3","6","1","1","F","Crown","0","3","3","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5630505628,NA,NA,NA,NA,0.2510941118,NA,NA,NA,NA,NA,NA,0.0972899801,NA,NA,603,1209.83333333333,95.4806072440095,1189.32973977979,20.4761079961922,4.96256631648538,0.979633345476893,49.099865609516,210.950827679923,84.59,5.41806741795029,38.7963460183044,6.07784419199114
"Sample5","Sample5","1","AS","2014","1","3","1","1","3.1","1.1","2014.1.1","AS.3.1","2014.AS.3.1","1.3.1.3","2014.1.3.1.3","Crown","1","AS.14.CR8.3.1.3","5","1","1","E","Crown","0","3","3","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5476913943,NA,NA,NA,NA,0.0822077013,NA,NA,NA,NA,NA,NA,0.0343106202,NA,NA,474,994.310810810811,89.6581916582214,985.241445479497,19.6780939797774,5.43381818305462,0.989544654914919,95.6448583822404,256.886176611002,104.41,4.51058239425393,60.6699431148281,7.93615134578916
"Sample24","Sample24","1","AS","2014","1","1","5","5","1.5","1.5","2014.1.5","AS.1.5","2014.AS.1.5","1.1.5.2","2014.1.1.5.2","Crown","1","AS.14.CR8.1.5.2","24","1","3","H","Crown","0","2","3","1","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6882087274,NA,NA,NA,NA,0.1125224251,NA,NA,NA,NA,NA,NA,0.0463087738,NA,NA,1302,2539.28,132.52829199702,2650.46191079229,33.1878766970261,5.14086860802674,0.977071789235323,43.6143932146938,389.799025503893,85.97,5.34743401128527,35.0985873198702,5.60993268148531
"Sample23","Sample23","1","AS","2014","1","2","5","5","2.5","1.5","2014.1.5","AS.2.5","2014.AS.2.5","1.2.5.1","2014.1.2.5.1","Crown","1","AS.14.CR8.2.5.1","23","1","3","G","Crown","0","1","3","0","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5836789734,NA,NA,NA,NA,0.1030084651,NA,NA,NA,NA,NA,NA,0.0425788455,NA,NA,1027,2085.44585987261,126.208547984655,2320.78514217235,31.475092356092,5.16071573848046,0.979759450572321,49.4057734733462,317.43363736889,89.24,6.05883610518513,39.1928237981981,6.52765317614592
"Sample20","Sample20","1","AS","2014","1","3","2","2","3.2","1.2","2014.1.2","AS.3.2","2014.AS.3.2","1.3.2.1","2014.1.3.2.1","Crown","1","AS.14.CR8.3.2.1","20","1","3","D","Crown","0","1","3","0","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5971108382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,1625.17073170732,147.905672905578,1568.17313851541,25.188319667416,5.39581265982528,0.988904326826508,90.1252212789601,276.838437562096,98.73,5.24520945456158,59.2994932011818,6.39926246936085
"Sample40","Sample40","1","AS","2014","1","3","5","5","3.5","1.5","2014.1.5","AS.3.5","2014.AS.3.5","1.3.5.3","2014.1.3.5.3","Crown","1","AS.14.CR8.3.5.3","40","1","5","H","Crown","0","3","3","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6184678404,NA,NA,NA,NA,0.2024437817,NA,NA,NA,NA,NA,NA,0.0800647808,NA,NA,623,1658.71830985915,164.725978485437,1609.36719352799,25.9112193335244,5.30194952309977,0.988071299485674,83.8314281424926,248.718157380202,96.55,5.10965613897705,56.6178749275422,7.03674060352095
"Sample91","Sample91","1","OSU","2013","3","0","3","3","0.3","3.3","2013.3.3","OSU.0.3","2013.OSU.0.3","3.0.3.2","2013.3.0.3.2","Crown","1","OSU.13.CR8.0.3.2","91","1","12","C","Crown","0","2","1","1","0","0","0.082223072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6130662252,NA,NA,NA,NA,0.1937402347,NA,NA,NA,NA,NA,NA,0.0769098319,NA,NA,1235,2705.1914893617,156.660649724223,3066.71154858613,38.1986890576236,4.78392813881676,0.967926551072443,31.1784367892161,355.768687006097,75.78,5.24853033782512,27.1801845926686,4.06683332453971
"Sample130","Sample130","1","PC","2014","2","1","1","1","1.1","2.1","2014.2.1","PC.1.1","2014.PC.1.1","2.1.1.4","2014.2.1.1.4","Seed","1","PC.14.SDH.1.1.4","130","2","5","B","Seed","0","4","4","1","1","1","",16,15,NA,77.8745454545,131.27,1,652,NA,1.436123348,NA,NA,11,0.7333333333,59.2727272727,43.4666666667,0.638553297,0.638553297,NA,NA,24160.3828359153,180.4678189776,160.9936721232,6.1907423864,0.7469576132,89.2090750779,3.4303857726,4.3831217868,2.2587996196,2.2094980502,0.8567737301,76,237.142857142857,74.4851138643944,178.58945462935,7.12480861541314,3.42096988993566,0.930958044982699,14.4839467501958,34.9980806667608,46.14,3.62377112573589,13.7948641680271,1.90504725824213
"Sample111","Sample111","1","OSU","2013","3","0","","4","0.4","3.4","2013.3.4","OSU.0.4","2013.OSU.0.4","3.0.4.3","2013.3.0.4.3","Seed","1","OSU.13.SDH.0.4.3","111","2","2","G","Seed","0","3","2","0","0","1","0.0783454209",120,40,NA,96.04,181,NA,800.3333333333,4802,1.764434411,10.5866064657,51,50,1.25,96.04,120.05,0.7428145695,0.7428145695,NA,NA,14909.5669409773,19.3046988597,NA,NA,NA,NA,NA,4.1734650292,1.2856630313,NA,NA,260,823.772727272727,149.837276793362,774.022713354078,16.9353618006168,3.28263218894932,0.888527428294904,8.97081662963271,59.1014024067649,42.32,3.78695261404339,8.73139120502473,1.68977593598076
"Sample158","Sample158","1","PC","2014","2","1","1","3","1.3","2.3","2014.2.3","PC.1.3","2014.PC.1.3","2.1.3.2","2014.2.1.3.2","Seed","1","PC.14.SDH.1.3.2","158","2","8","F","Seed","0","2","4","1","0","1","",16,15,NA,77.0721428571,133.49,1,865,NA,1.9052863436,NA,NA,14,0.9333333333,61.7857142857,57.6666666667,0.6045282389,0.6045282389,NA,NA,30101.28182613,2004.7175606328,1791.38626062,40.4438274181,6.6599076153,89.3585358755,2.0174326904,4.4785994174,3.3022697769,3.2534316062,1.6174598565,193,419.384615384615,63.4005881948582,457.411846103896,13.7993927382723,3.14019784396388,0.898615417797474,9.86343266673822,46.6443609102972,38.42,3.49365948049557,9.47739475934716,1.23994807244843
"Sample146","Sample146","1","PC","2014","2","1","1","2","1.2","2.2","2014.2.2","PC.1.2","2014.PC.1.2","2.1.2.3","2014.2.1.2.3","Seed","1","PC.14.SDH.1.2.3","146","2","7","B","Seed","0","3","4","0","1","1","",16,15,NA,69.5714285714,114,1,402,NA,0.8854625551,NA,NA,7,0.4666666667,57.4285714286,26.8,0.7914703886,0.7914703886,NA,NA,21849.8468284163,12013.8745104888,10552.1798755968,226.0825951091,54.9837928148,87.8332786511,1.8818458184,4.3394682727,4.0797192392,4.0233833406,2.3561838487,168,397.545454545455,67.9927895661317,489.80430355235,14.6248238256343,3.10313637324725,0.910281424104379,11.1459638098069,40.5693358869343,35.49,3.44508140086499,10.5279096761766,1.1854506307948
"Sample154","Sample154","1","PC","2014","2","1","1","3","1.3","2.3","2014.2.3","PC.1.3","2014.PC.1.3","2.1.3.1","2014.2.1.3.1","Seed","1","PC.14.SDH.1.3.1","154","2","8","B","Seed","0","1","4","0","0","1","",16,15,NA,45.125,63,1,425,NA,0.936123348,NA,NA,8,0.5333333333,53.125,28.3333333333,0.5502455402,0.5502455402,NA,NA,31833.1758897876,157.551464232,13.3119721872,0,0.4949285135,8.4492849699,0,4.5028936115,2.2001702571,1.1556994836,0,246,712.565217391304,124.429759197313,746.395945945946,19.1889925453047,3.36133325691004,0.918752618208081,12.308088924774,54.5950211268532,42.53,3.89108019070605,11.6014902733813,1.47482395838323
"Sample152","Sample152","1","OSU","2014","3","2","11","1","2.1","3.1","2014.3.1","OSU.2.1","2014.OSU.2.1","3.2.1.6","2014.3.2.1.6","Seed","1","OSU.14.SDH.11.1.6","152","2","7","H","Seed","0","6","4","1","0","1","",24,22,NA,71.8333333333,103,1,707,NA,1.5572687225,NA,NA,12,0.5454545455,58.9166666667,32.1363636364,0.7878527722,0.7495498216,NA,NA,32653.3884571614,91.785226272,158.246130216,0,0.2810894385,172.4091519337,0,4.5139415548,1.9674788312,2.2020688875,0,228,554.217391304348,90.7775466338312,537.601457951309,14.4365420917888,3.74299369472611,0.940834462323881,16.901730961597,57.0066439807004,51.83,4.23085109760448,15.8877585070583,2.45758052017383
"Sample109","Sample109","1","OSU","2013","3","0","","4","0.4","3.4","2013.3.4","OSU.0.4","2013.OSU.0.4","3.0.4.1","2013.3.0.4.1","Seed","1","OSU.13.SDH.0.4.1","109","2","2","E","Seed","0","1","1","0","0","1","0.0783454209",120,40,NA,94.1833333333,163,NA,941.8333333333,5651,2.0763887664,12.4583325985,60,60,1.5,94.1833333333,141.275,0.6946556291,0.6946556291,NA,NA,9578.7581486167,14.2245811399,NA,NA,NA,NA,NA,3.981309208,1.1530394869,NA,NA,272,480.636363636364,49.6501576340669,504.338007869606,13.6490516818802,3.43710584056216,0.926160920247423,13.5429640151372,64.8460293146663,43.62,4.42394768632193,12.844765936485,1.64614212465791
"Sample274","Sample274","2","AS","2012","1","","","","","","","","","","2012","Seed_stock","1","CRG.12.AS.OSU.B","274","3","11","B","Seed","0","","1","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,156.333333333333,22.1440672891119,177.776687173508,8.02427461546026,2.81431480678581,0.896886203061227,9.69802324895262,24.693008968891,29.04,2.99467540946941,9.18767524810124,0.845936003384721
"Sample196","Sample196","2","PC","2013","2","","","","","","","","","","2013","Seed_stock","1","CRG.13.PC","196","3","1","D","Seed","0","","4","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743,1160.60869565217,61.0734678341258,1291.66255640184,23.2281161698823,3.19636043450161,0.824411063264653,5.69511962765189,134.992760537593,48.06,4.60087826486213,5.73511722854472,0.841108928832037
"Sample135","Sample135","1","OSU","2014","3","1","5","4","1.4","3.4","2014.3.4","OSU.1.4","2014.OSU.1.4","3.1.4.5","2014.3.1.4.5","Seed","1","OSU.14.SDH.5.4.5","135","2","5","G","Seed","0","5","4","0","0","1","",24,22,NA,81.5,124,1,941,NA,2.0726872247,NA,NA,14,0.6363636364,67.2142857143,42.7727272727,0.7594638013,0.7522428475,NA,NA,25594.1845523591,5.1876941688,0,0,0.0202690348,0,0,4.4081582653,0.7915288402,0,0,107,217.076923076923,43.4108682414469,200.108628795755,8.4949225735485,3.75864641177358,0.958168022217814,23.9051570835803,38.9703138754514,51.46,3.74818474583216,21.4878150854742,2.40485320245336
"Sample144","Sample144","1","OSU","2014","3","1","8","5","1.5","3.5","2014.3.5","OSU.1.5","2014.OSU.1.5","3.1.5.7","2014.3.1.5.7","Seed","1","OSU.14.SDH.8.5.7","144","2","6","H","Seed","0","7","4","0","1","1","",24,22,NA,49.1058823529,100.6,1,662.7,NA,1.45969163,NA,NA,17,0.7727272727,38.9823529412,30.1227272727,0.6038668388,0.6637701284,NA,NA,20690.3909808449,15.3722460144,1.2290891088,0,0.0742965468,7.9955076678,0,4.3157896871,1.2141082619,0.3481274299,0,723,1082.37777777778,54.4985352268715,1080.13056680619,19.2074694646906,3.37979043325913,0.880632275862069,8.37747395472235,160.047424015389,45.26,4.96984848253887,8.08938696291121,1.11961917690827
"Sample166","Sample166","1","PC","2014","2","1","1","3","1.3","2.3","2014.2.3","PC.1.3","2014.PC.1.3","2.1.3.4","2014.2.1.3.4","Seed","1","PC.14.SDH.1.3.4","166","2","9","F","Seed","0","4","4","1","1","1","",16,15,NA,79.4375,110.29,1,516.63,NA,1.1379515419,NA,NA,8,0.5333333333,64.57875,34.442,0.5281265102,0.5281265102,NA,NA,40327.6103564345,591.8485073736,627.698532144,17.1780212109,1.4676012343,106.0572974881,2.9024355045,4.6056132573,2.7729437308,2.7984424464,1.2595466058,217,484.241379310345,70.3461751844015,563.864066641775,15.6788446331436,3.44790876553299,0.932650702979984,14.8479649268322,55.3077707296848,42.67,4.17557834861885,13.7329780789732,1.72464623996633
"Sample129","Sample129","1","AS","2014","1","1","1","2","1.2","1.2","2014.1.2","AS.1.2","2014.AS.1.2","1.1.2.2","2014.1.1.2.2","Seed","1","AS.14.SDH.1.2.2","129","2","5","A","Seed","0","2","3","1","0","1","",20,18,NA,109.2352941176,166,1,1284.82,NA,2.83,NA,NA,17,0.9444444444,75.5776470588,71.3788888889,0.5941253073,0.5289789297,183,156,46055.6520110427,6178.3578715776,5370.4517840568,147.7498069326,13.4149829647,86.9236113493,2.391409012,4.6632923647,3.7909433477,3.7300916817,2.1724564107,229,487.333333333333,67.5373744536804,533.101707148282,14.4730692532332,3.17432645750079,0.893975209109933,9.43175639966002,52.3234256894321,40.48,3.68036010534982,9.23963336563583,1.42464891302455
"Sample141","Sample141","1","AS","2014","1","1","2","1","1.1","1.1","2014.1.1","AS.1.1","2014.AS.1.1","1.1.1.4","2014.1.1.1.4","Seed","1","AS.14.SDH.2.1.4","141","2","6","E","Seed","0","4","3","1","1","1","",20,18,NA,130.1052631579,220,1,1598.08,NA,3.52,NA,NA,19,1.0555555556,84.1094736842,88.7822222222,0.5417667946,0.5820478793,116,149.5,29943.0258077096,1701.4583180136,1826.0976931032,37.5716948299,5.682319245,107.3254439307,2.2082054219,4.4763101884,3.2310764877,3.2617617693,1.5862687221,138,311.4375,59.6779893446423,315.140651725801,10.8454111983491,3.37123230725784,0.931598231188186,14.6195049831413,35.7747304453073,39.61,3.34813380855664,13.2344594310287,1.59755276670738
"Sample282","Sample282","2","AS","2014","","","","","","","","","","","2014","Soil","1","Soil.14.AS.2","282","3","12","B","Soil","0","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922,1574.86184210526,85.2631276154624,1621.63095411623,24.1285409126949,5.27527197779853,0.972920985724431,36.9289660924694,322.014915050937,95.98,5.06319657883827,30.8695635801944,6.28428951231138
"Sample37","Sample37","1","AS","2014","1","1","2","2","1.2","1.2","2014.1.2","AS.1.2","2014.AS.1.2","1.1.2.2","2014.1.1.2.2","Crown","1","AS.14.CR8.1.2.2","37","1","5","E","Crown","0","2","3","1","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5941253073,NA,NA,NA,NA,0.3602659417,NA,NA,NA,NA,NA,NA,0.1336238243,NA,NA,884,1830.40740740741,120.940042507283,2060.89521162538,30.3945408831636,5.31179199117031,0.98591195910736,70.9821903287082,298.485658685969,93.5,6.14718462288866,49.9385521682875,6.9597101036066
"Sample139","Sample139","1","OSU","2014","3","1","7","1","1.1","3.1","2014.3.1","OSU.1.1","2014.OSU.1.1","3.1.1.8","2014.3.1.1.8","Seed","1","OSU.14.SDH.7.1.8","139","2","6","C","Seed","0","8","4","1","1","1","",24,22,NA,81.0625,125,1,1055,NA,2.3237885463,NA,NA,16,0.7272727273,65.9375,47.9545454545,0.6921341283,0.7074144035,NA,NA,31176.0746312874,62.9567646984,84.89849046,0.1526159651,0.2019393572,134.8520542101,0.2424139262,4.4938353626,1.8058864865,1.9339855318,0.0616846308,102,181.6875,30.9771410691513,209.559343050889,9.21120462244071,2.79353863103591,0.881209483782896,8.41818043935746,23.5661686805766,30.46,3.23934149686836,7.99943984605484,0.987002755629073
"Sample105","Sample105","1","OSU","2013","3","0","","3","0.3","3.3","2013.3.3","OSU.0.3","2013.OSU.0.3","3.0.3.1","2013.3.0.3.1","Seed","1","OSU.13.SDH.0.3.1","105","2","2","A","Seed","0","1","1","0","0","1","0.0944165317",120,40,NA,103.4333333333,155,NA,1034.3333333333,6206,2.2803165253,13.6818991517,64,60,1.5,103.4333333333,155.15,0.6772582781,0.6772582781,NA,NA,16048.3635965546,24.3959143424,NA,NA,NA,NA,NA,4.2054307553,1.3873170998,NA,NA,325,480.820895522388,34.4562763607359,494.678958529425,12.4819634750287,2.47213458195016,0.688896807859997,3.21436753226877,73.7897055700691,34.81,4.58961277827939,3.23829024714756,0.408588426311575
